Action, games, score, coin, xp, level, staples, commons, specials
Dupe common, 2255, 19080, 795, 2121950, 124, 19, 29, 26
Dupe special, 2275, 19080, 845, 2140950, 125, 19, 29, 26
Dupe special, 2295, 19080, 895, 2159950, 126, 19, 29, 26
Bought special, 2315, 19080, 45, 2178950, 126, 19, 29, 27
Dupe common, 2340, 19080, 845, 2202700, 128, 19, 29, 27
Dupe special, 2360, 19080, 895, 2221700, 129, 19, 29, 27
Dupe special, 2380, 19080, 945, 2240700, 130, 19, 29, 27
Bought special, 2400, 19080, 245, 2259700, 131, 19, 29, 28
Dupe special, 2425, 19080, 770, 2283450, 132, 19, 29, 28
Bought special, 2445, 19080, 70, 2302450, 133, 19, 29, 29
Dupe special, 2471, 19080, 815, 2327150, 134, 19, 29, 29
Dupe common, 2490, 19080, 770, 2345200, 135, 19, 29, 29
Dupe common, 2510, 19080, 820, 2364200, 136, 19, 29, 29
Dupe special, 2530, 19080, 870, 2383200, 137, 19, 29, 29
Bought special, 2550, 19080, 170, 2402200, 138, 19, 29, 30

Bought staple, 4, 7560, 36, 1610, 5, 1, 0, 0
Bought staple, 13, 10440, 181, 5810, 9, 2, 0, 0
Bought staple, 20, 12600, 11, 9860, 11, 3, 0, 0
Bought staple, 32, 13320, 57, 17570, 12, 4, 0, 0
Bought staple, 42, 14040, 170, 24450, 14, 5, 0, 0
Bought staple, 50, 15480, 33, 30330, 15, 6, 0, 0
Bought staple, 60, 16200, 98, 38230, 16, 7, 0, 0
Bought staple, 68, 16920, 64, 44890, 18, 8, 0, 0
Bought staple, 76, 18360, 52, 52020, 19, 9, 0, 0
Bought staple, 84, 19080, 225, 59500, 21, 10, 0, 0
Bought staple, 91, 19080, 15, 66150, 21, 11, 0, 0
Bought staple, 101, 19080, 90, 75650, 21, 12, 0, 0
Bought staple, 110, 19080, 220, 84200, 22, 13, 0, 0
Dupe staple, 119, 19080, 325, 92750, 22, 13, 0, 0
Bought special, 142, 19080, 35, 114600, 23, 13, 0, 1
Dupe staple, 150, 19080, 320, 122200, 24, 13, 0, 1
Bought common, 175, 19080, 95, 145950, 25, 13, 1, 1
